Name_x,Amusement Park,Type_x,Design,Status_x,Opened,City,Region,Country,Make,Length (ft),Height (ft),Speed (mph),Inversions_x,Elements,Image URLs,Drop (ft),Duration_x,G-Force (),Vertical Angle (°),Uphill Length (ft),Downhill Length (ft),Δ Elevation (ft),Airtime Points,Crossings,Bank Angle (°),Drop_x,Unnamed: 0,year_introduced,Location,Park section,Coordinates,Status_y,Opening date,General statistics,Type_y,Manufacturer,Designer,Model,Track layout,Lift/launch system,Height,Drop_y,Length,Speed,Duration_y,Max vertical angle,Capacity,G-force,coaster_name,History,Closing date,Inversions_y,Trains,Replaced,Replaced by,General Statistics,Cost,Height restriction,Website,Coordinates_1,Coordinates_2,Status_1,Status_2,Opening date_1,Opening date_2,Coordinates_3,Coordinates_4,Status_3,Status_4,Opening date_3,Opening date_4,Flash Pass Available,Closing date_1,Closing date_2,Closing date_3,Closing date_4,Fast Lane available,Location_1,Location_2,Location_3,Location_4,Must transfer from wheelchair,Theme,Single rider line available,Restraint Style,Coordinates_5,Coordinates_6,Status_5,Status_6,Opening date_5,Opening date_6,Coordinates_7,Coordinates_8,Coordinates_9,Status_7,Status_8,Status_9,Opening date_7,Opening date_8,Opening date_9,Park section_1,Park section_2,Park section_3,Park section_4,Coordinates_10,Status_10,Opening date_10,Replaced by_1,Replaced by_2,Coordinates_11,Coordinates_12,Coordinates_13,Coordinates_14,Coordinates_15,Status_11,Status_12,Status_13,Status_14,Status_15,Opening date_11,Opening date_12,Opening date_13,Opening date_14,Opening date_15,Closing date_5,Closing date_6,Closing date_7,Closing date_8,Replaced by_3,Replaced by_4,Coordinates_16,Coordinates_17,Coordinates_18,Coordinates_19,Coordinates_20,Status_16,Status_17,Status_18,Status_19,Status_20,Opening date_16,Opening date_17,Opening date_18,Opening date_19,Opening date_20,Closing date_9,Closing date_10,Closing date_11,Closing date_12,Coordinates_21,Coordinates_22,Coordinates_23,Coordinates_24,Coordinates_25,Status_21,Status_22,Status_23,Status_24,Status_25,Opening date_21,Opening date_22,Opening date_23,Opening date_24,Opening date_25,Closing date_13,Closing date_14,Closing date_15,Closing date_16,Coordinates_26,Coordinates_27,Coordinates_28,Coordinates_29,Coordinates_30,Status_26,Status_27,Status_28,Status_29,Status_30,Opening date_26,Opening date_27,Opening date_28,Opening date_29,Opening date_30,Closing date_17,Closing date_18,Closing date_19,Closing date_20,Coordinates_31,Coordinates_32,Coordinates_33,Coordinates_34,Coordinates_35,Coordinates_36,Status_31,Status_32,Status_33,Status_34,Status_35,Status_36,Opening date_31,Opening date_32,Opening date_33,Opening date_34,Opening date_35,Opening date_36,Closing date_21,Closing date_22,Closing date_23,Closing date_24,Closing date_25,Name_y,Cost_1,Cost_2,Cost_3,Cost_4,Flash Pass available,Soft opening date,Park section_5,Park section_6,Replaced by_5,Replaced by_6,Park section_7,Park section_8,Park section_9,Replaced by_7,Replaced by_8,Replaced by_9,Acceleration,Park section_10,Park section_11,Park section_12,Park section_13,Park section_14,Park section_15,Park section_16,Restraints,Name_1,Name_2,Name_3,Name_4,Name_5,Name_6,Name_7,Name_8,Name_9,Replaced_1,Replaced_2,Replaced_3,Replaced_4,Fastrack available,Soft opening date_1,Soft opening date_2,Soft opening date_3,Soft opening date_4,Park section_17,Park section_18,Park section_19,Park section_20,Park section_21,Park section_22,Park section_23,Park section_24,Park section_25,Park section_26,Park section_27,Park section_28,Park section_29,Park section_30,Park section_31,Park section_32,Park section_33,Park section_34,Park section_35,Park section_36,Website_1,Website_2,Website_3,Website_4,Cost_5,Cost_6,Cost_7,Cost_8,Cost_9
,,,,,,,,,,,,,,,,,,,,,,,,,,,The Flash: Speed Force,2007.0,,,27°54′51.5″S 153°18′59.2″E﻿ / ﻿27.914306°S 153.316444°E,,September 2007,General statistics,Steel – Shuttle – Launched,Intamin,Ing.-Büro Stengel GmbH,Half Pipe Roller Coaster,,LSM,30 m (98 ft),25 m (82 ft),70 m (230 ft),,1 minute,90°,460 riders per hour,,The Flash: Speed Force,"In February 2007, roller coaster parts began arriving in Wet'n'Wild Gold Coast's car park. The Gold Coast Bulletin later reported the ride as being an Intamin Half Pipe roller coaster with an opening date scheduled for the September school holidays. In late April, Wet'n'Wild Gold Coast officially confirmed this report by announcing the Surfrider. After a relatively short construction period, the ride was fully assembled by July 2007. The ride opened in September 2007.Surfrider was originally planned to be installed at Sea World, a theme park owned by the same company as Wet'n'Wild Gold Coast, Village Roadshow Theme Parks. After purchasing the ride from Intamin, the location where it was to be installed was changed.The ride stood without operation from 2020 until April 2023, when it was removed pending relocation to Warner Bros. Movie World. It is scheduled to open at the park in April 2024 as The Flash: Speed Force, themed to the DC Comics superhero the Flash. It will be built within the footprint of the existing Superman Escape coaster.",April 2023,0,Single train with a single car. Riders are arranged 6 across in 2 rows for a total of 12 riders per train.,,,,,140 cm (4 ft 7 in),,,,Under construction,Removed,,,,,Under construction,Removed,,,,,,,,,,,,,,,,Over the Shoulder Restraints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surfrider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Troy,2007.0,Toverland,,51°23′47″N 5°58′58″E﻿ / ﻿51.3963°N 5.9829°E[1],Operating,29 June 2007,General statistics,Wood,Great Coasters International,,,,Chain lift hill,31.9 m (105 ft),30.7 m (101 ft),"1,077.2 m (3,534 ft)",86.9 km/h (54.0 mph),~1:50[2],,850 riders per hour,2.4[2],Troy (roller coaster),History section not found,,0,2 trains with 12 cars. Riders are arranged 2 across in a single row for a total of 24 riders per train.,,,,"€6,500,000[2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Wicked,2007.0,Lagoon Amusement Park,South Midway,40°59′02″N 111°53′44″W﻿ / ﻿40.98389°N 111.89556°W,Operating,"June 1, 2007",General statistics,Steel – Launched,Zierer,Werner Stengel,Tower Launch Coaster,,Two LSM launches,110 ft (34 m),,"2,050.5 ft (625.0 m)",55 mph (89 km/h),1:46,90°,900 riders per hour,4.8,Wicked (roller coaster),"Construction of the attraction began in August 2006. Wicked was designed by Werner Stengel and manufactured by Zierer, with fabrication subcontracted to Stakotra Manufacturing. The total cost to construct the ride was $10 million, and it opened to the public on June 1, 2007. The ride has been described as ""very smooth and lacks any jerking or shaking"" by Deseret News, which also noted that riders were secured unusually by their ankles and thighs instead of the traditional shoulder and lap restraints.Wicked is located in the south midway of the park in an area previously used for parking. It has a green track with mostly silver supports, the only exception being the bright yellow supports of the launch tower.",,1,a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,,,,$10 million,46 in (117 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,American Thunder,2008.0,Six Flags St. Louis,1904 World's Fair,38°30′45″N 90°40′38″W﻿ / ﻿38.51250°N 90.67722°W,Operating,"June 20, 2008",General statistics,Wood,Great Coasters International,,,,Chain lift hill,82 ft (25 m),80 ft (24 m),"2,713 ft (827 m)",48 mph (77 km/h),,,850 riders per hour,,American Thunder (roller coaster),History section not found,,0,2 trains with 12 cars. Riders are arranged 2 across in a single row for a total of 24 riders per train.,,,,"US$7,000,000",48 in (122 cm),,,,,,,,,,,,,,Flash Pass Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Behemoth,2008.0,Canada's Wonderland,Action Zone,43°50′20.4″N 79°32′26.3″W﻿ / ﻿43.839000°N 79.540639°W,Operating,4 May 2008,General statistics,Steel,Bolliger & Mabillard,,Hyper Coaster,,Chain lift hill,70 m (230 ft),69 m (226 ft),"1,620.9 m (5,318 ft)",124 km/h (77 mph),3:10,75°,1545 riders per hour,4.5,Behemoth (roller coaster),"Behemoth was announced on 27 August 2007. The estimated C$26 million ride represented the single biggest investment in the 27-year history of Canada's Wonderland. When completed, Behemoth became the 15th roller coaster at the park.After 17.5 months of planning and construction, steel construction of the track and supports was completed on 22 January 2008. The ride was officially opened on 24 April 2008 for Media Day. On Season Pass Preview Night, the ride was open to season pass holders on 25 April 2008. Behemoth opened to the public on 4 May 2008.For the 2014 season, seat belts were added to the trains.",,0,3 trains with 8 cars. Riders are arranged 2 across in 2 rows for a total of 32 riders per train.,,,,C$26 million est.,137–203 cm (4 ft 6 in – 6 ft 8 in),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 April 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Cobra', 'Tivoli Friheden')",2008.0,Tivoli Friheden,,56°08′09″N 10°11′52″E﻿ / ﻿56.135835°N 10.197871°E,Removed,"June 28, 2008",General statistics,Steel – Inverted,Sartori Rides,Ride Tek,compact Inverted Coaster,,Chain lift hill,82 ft (25 m),,"1,312 ft (400 m)",43.5 mph (70.0 km/h),,,720 riders per hour,4.5,Cobra (Tivoli Friheden),History section not found,"July 14, 2022",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,The Dark Knight Coaster,2008.0,,,,,,General statistics,Steel – Wild Mouse – Enclosed,Mack Rides,Werner Stengel,"Wild Mouse (compact mobile, rev. 2)",Wild Mouse,Chain lift hill,45 ft (14 m),,"1,213 ft (370 m)",30 mph (48 km/h),2:00,,,,The Dark Knight Coaster,,,0,8 trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,,,,,42 in (107 cm),,40°08′12″N 74°26′34″W﻿ / ﻿40.1366°N 74.4429°W,42°22′15″N 87°56′00″W﻿ / ﻿42.3708°N 87.9333°W,Operating,Operating,"May 15, 2008","May 21, 2008",19°17′36″N 99°12′39″W﻿ / ﻿19.2933°N 99.2107°W,40°08′12″N 74°26′34″W﻿ / ﻿40.1366°N 74.4429°W,Operating,Operating,"March 9, 2009","May 15, 2008",,,,,,,,,,,,,Single rider line available,,42°22′15″N 87°56′00″W﻿ / ﻿42.3708°N 87.9333°W,19°17′36″N 99°12′39″W﻿ / ﻿19.2933°N 99.2107°W,Operating,Operating,"May 21, 2008","March 9, 2009",40°08′12″N 74°26′34″W﻿ / ﻿40.1366°N 74.4429°W,42°22′15″N 87°56′00″W﻿ / ﻿42.3708°N 87.9333°W,19°17′36″N 99°12′39″W﻿ / ﻿19.2933°N 99.2107°W,Operating,Operating,Operating,"May 15, 2008","May 21, 2008","March 9, 2009",Movie Town,Orleans Place,Pueblo Vaquero,Movie Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"US$7,500,000","US$7,500,000","US$7,500,000","US$7,500,000",,,Orleans Place,Pueblo Vaquero,,,Movie Town,Orleans Place,Pueblo Vaquero,,,,,,,,,,,,,,,,,,,,,,Movietown Water Effect Batman and Robin: The Chiller,Theater Royale,Movietown Water Effect Batman and Robin: The Chiller,Theater Royale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,The Dark Knight Coaster,2009.0,,,,,,General statistics,Steel – Wild Mouse – Enclosed,Mack Rides,Werner Stengel,"Wild Mouse (compact mobile, rev. 2)",Wild Mouse,Chain lift hill,45 ft (14 m),,"1,213 ft (370 m)",30 mph (48 km/h),2:00,,,,The Dark Knight Coaster,,,0,8 trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,,,,,42 in (107 cm),,40°08′12″N 74°26′34″W﻿ / ﻿40.1366°N 74.4429°W,42°22′15″N 87°56′00″W﻿ / ﻿42.3708°N 87.9333°W,Operating,Operating,"May 15, 2008","May 21, 2008",19°17′36″N 99°12′39″W﻿ / ﻿19.2933°N 99.2107°W,40°08′12″N 74°26′34″W﻿ / ﻿40.1366°N 74.4429°W,Operating,Operating,"March 9, 2009","May 15, 2008",,,,,,,,,,,,,Single rider line available,,42°22′15″N 87°56′00″W﻿ / ﻿42.3708°N 87.9333°W,19°17′36″N 99°12′39″W﻿ / ﻿19.2933°N 99.2107°W,Operating,Operating,"May 21, 2008","March 9, 2009",40°08′12″N 74°26′34″W﻿ / ﻿40.1366°N 74.4429°W,42°22′15″N 87°56′00″W﻿ / ﻿42.3708°N 87.9333°W,19°17′36″N 99°12′39″W﻿ / ﻿19.2933°N 99.2107°W,Operating,Operating,Operating,"May 15, 2008","May 21, 2008","March 9, 2009",Movie Town,Orleans Place,Pueblo Vaquero,Movie Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"US$7,500,000","US$7,500,000","US$7,500,000","US$7,500,000",,,Orleans Place,Pueblo Vaquero,,,Movie Town,Orleans Place,Pueblo Vaquero,,,,,,,,,,,,,,,,,,,,,,Movietown Water Effect Batman and Robin: The Chiller,Theater Royale,Movietown Water Effect Batman and Robin: The Chiller,Theater Royale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Dive Coaster,2008.0,Chimelong Paradise,Rainbow Bay,22°59′59″N 113°19′24″E﻿ / ﻿22.999647°N 113.323256°E,Operating,"January 21, 2008",General statistics,Steel – Dive Coaster,Bolliger & Mabillard,,Floorless Dive Coaster,,Chain lift hill,59.9 m (197 ft),,"981 m (3,219 ft)",112 km/h (70 mph),,90°,,,Dive Coaster (Chimelong Paradise),History section not found,,1,,,,,,140 cm (4 ft 7 in),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Dragon's Run,2008.0,,,,,,General statistics,Steel,Bolliger & Mabillard,,Sitting Coaster,,Chain lift hill,155 ft (47 m),150 ft (46 m),"3,738 ft (1,139 m)",65 mph (105 km/h),,,,,Dragon's Run,"Plans for a Hard Rock-themed amusement park were released in 2003; at the time, however, funding and licensing agreements had yet to be finalized. By 2006, a licensing agreement with the Hard Rock franchise was reached. Hard Rock Park was announced in early 2007. The park's flagship attraction, ""Led Zeppelin – The Ride"", would be a Bolliger & Mabillard sit-down roller coaster themed for the English rock band of the same name. By July 2007 construction for the ride was underway, with the lift hill completed.""Led Zeppelin – The Ride"" soft-opened to the public on April 15, 2008, with the first seats auctioned for charity. The ride's official opening was on May 9, 2008. During operation, the coaster would play Led Zeppelin's ""Whole Lotta Love"" through an on-board audio system. In September 2008, Hard Rock Park filed for Chapter 11 bankruptcy due to the inability to pay its debts. Its owners later filed for bankruptcy under Chapter 7, allowing them to sell the park.In February 2009, FPI MB Entertainment purchased the park. As part of the acquisition it was renamed Freestyle Music Park, with all licensed themes removed. ""Led Zeppelin – The Ride"" was renamed ""The Time Machine"", with the on-board audio a selection of songs from the 1960s to the 2000s. The new park officially opened on May 23, 2009; however, the fate of Freestyle Music Park was similar to that of its predecessor and the park closed in September 2009. The coaster remained standing but not operating for almost five years.The ride was posted for sale on talintl.com included in a bundle of components of the former Freestyle Music Park. In 2014 Time Machine was purchased by what was then a new, unnamed park under construction in Vietnam. On August 21, 2014, cranes had been set up next to the Time Machine to begin the process of dismantling, and elements of the finale had already been removed. On January 25, 2017, the ride opened as Dragon's Run at the new Dragon Park Ha Long in Vietnam.","September 27, 2009",6,8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,,,,54 in (137 cm),,20°57′15″N 107°02′52″E﻿ / ﻿20.954139°N 107.047806°E,33°42′55″N 78°56′08″W﻿ / ﻿33.715335°N 78.935674°W,Operating,Removed,"January 25, 2017","May 9, 2008",20°57′15″N 107°02′52″E﻿ / ﻿20.954139°N 107.047806°E,33°42′55″N 78°56′08″W﻿ / ﻿33.715335°N 78.935674°W,Operating,Removed,"January 25, 2017","May 9, 2008",,,,,,,,,,,Must transfer from wheelchair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"April 15, 2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Dragon's Run,2017.0,,,,,,General statistics,Steel,Bolliger & Mabillard,,Sitting Coaster,,Chain lift hill,155 ft (47 m),150 ft (46 m),"3,738 ft (1,139 m)",65 mph (105 km/h),,,,,Dragon's Run,"Plans for a Hard Rock-themed amusement park were released in 2003; at the time, however, funding and licensing agreements had yet to be finalized. By 2006, a licensing agreement with the Hard Rock franchise was reached. Hard Rock Park was announced in early 2007. The park's flagship attraction, ""Led Zeppelin – The Ride"", would be a Bolliger & Mabillard sit-down roller coaster themed for the English rock band of the same name. By July 2007 construction for the ride was underway, with the lift hill completed.""Led Zeppelin – The Ride"" soft-opened to the public on April 15, 2008, with the first seats auctioned for charity. The ride's official opening was on May 9, 2008. During operation, the coaster would play Led Zeppelin's ""Whole Lotta Love"" through an on-board audio system. In September 2008, Hard Rock Park filed for Chapter 11 bankruptcy due to the inability to pay its debts. Its owners later filed for bankruptcy under Chapter 7, allowing them to sell the park.In February 2009, FPI MB Entertainment purchased the park. As part of the acquisition it was renamed Freestyle Music Park, with all licensed themes removed. ""Led Zeppelin – The Ride"" was renamed ""The Time Machine"", with the on-board audio a selection of songs from the 1960s to the 2000s. The new park officially opened on May 23, 2009; however, the fate of Freestyle Music Park was similar to that of its predecessor and the park closed in September 2009. The coaster remained standing but not operating for almost five years.The ride was posted for sale on talintl.com included in a bundle of components of the former Freestyle Music Park. In 2014 Time Machine was purchased by what was then a new, unnamed park under construction in Vietnam. On August 21, 2014, cranes had been set up next to the Time Machine to begin the process of dismantling, and elements of the finale had already been removed. On January 25, 2017, the ride opened as Dragon's Run at the new Dragon Park Ha Long in Vietnam.","September 27, 2009",6,8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,,,,54 in (137 cm),,20°57′15″N 107°02′52″E﻿ / ﻿20.954139°N 107.047806°E,33°42′55″N 78°56′08″W﻿ / ﻿33.715335°N 78.935674°W,Operating,Removed,"January 25, 2017","May 9, 2008",20°57′15″N 107°02′52″E﻿ / ﻿20.954139°N 107.047806°E,33°42′55″N 78°56′08″W﻿ / ﻿33.715335°N 78.935674°W,Operating,Removed,"January 25, 2017","May 9, 2008",,,,,,,,,,,Must transfer from wheelchair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"April 15, 2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Fahrenheit,2008.0,Hersheypark,Pioneer Frontier,40°17′28″N 76°39′19″W﻿ / ﻿40.291037°N 76.655204°W,Operating,"May 24, 2008",General statistics,Steel,Intamin,Werner Stengel,,,Vertical chain lift,121 ft (37 m),,"2,700 ft (820 m)",58 mph (93 km/h),1:25,97°,850 riders per hour,,Fahrenheit (roller coaster),"Planning for Fahrenheit began in late 2006, eighteen months before the ride was to open. Fahrenheit was announced in a Hersheypark press release on September 27, 2007. Typically, the park built a major attraction every two years, but the previous large attraction, the Boardwalk at Hersheypark, had opened earlier the same year. The new coaster replaced the Western Chute-Out, which had operated since 1988 or 1991. The Western Chute-Out's ridership had declined following the opening of the Boardwalk at Hersheypark, which had contained five water attractions, and demolition of the Western Chute-Out began in early September 2007. Ahead of Fahrenheit's opening, Hersheypark launched a viral marketing campaign to promote the project.The construction of Fahrenheit caused the opening of the Boardwalk at Hersheypark to be delayed for the 2008 season. Fahrenheit opened on May 24, 2008. The ride cost an estimated $12.1 million. Fahrenheit was Hersheypark's 11th roller coaster and was one of two new attractions for the 2008 season, the other being the Howler, a spinning flat ride adjacent to Fahrenheit. To promote the new rides, Hersheypark launched a 14-week mobile tour, stopping at 30 locations across the Mid-Atlantic and Northeastern United States.",,6,,,,,"US$12,100,000",54 in (137 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,The Bat,2008.0,Kings Island,Action Zone,39°20′51″N 84°15′55″W﻿ / ﻿39.3476°N 84.2652°W,Operating,"April 9, 1993",General statistics,Steel – Suspended,Arrow Dynamics,,Suspended Coaster,Terrain,Chain lift hill,78 ft (24 m),70 ft (21 m),"2,352 ft (717 m)",51 mph (82 km/h),1:52,45°,"1,200 riders per hour",2.9,Flight Deck (Kings Island),"The 660-short-ton (600 t) structure was planned years in advance before Paramount Communications purchased the park in 1992. However, Paramount took over operations in time to determine the ride's theme which was based on the Paramount Pictures film Top Gun.  On November 11, 1992, Kings Island announced that a new roller coaster named Top Gun would be added to the park. The ride would be an Arrow Dynamics suspended coaster, very similar to The Bat which had operated at the park in the 1980s. Construction of Top Gun began in December 1992 and was completed in early spring 1993. The park hired John DeCuir Jr., a production designer who worked on the film, to design the ride's loading platform, so that it would resemble the deck of an aircraft carrier. Top Gun opened on April 9, 1993.
Top Gun was renamed Flight Deck in 2008, two years after Cedar Fair purchased the park. The theme music and signage were changed to remove all references to the film. Cedar Fair had rights to continue using the Top Gun movie theme through 2016 but made the decision to remove all Paramount themes from the park much sooner. On October 29, 2013, the 33rd anniversary of the announcement of the original Bat, the park announced that Flight Deck would be renamed The Bat for the 2014 season. The ride was repainted with a new color scheme of orange track with charcoal supports, and black trains.",,0,2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,,,,48 in (122 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
