Name,Amusement Park,Type,Design,Status_x,Opened,City,Region,Country,Make,Length,Height,Speed,Inversions,Elements,Image URLs,Drop (ft),Duration,G-force,Max vertical angle,Uphill Length (ft),Downhill Length (ft),Δ Elevation (ft),Airtime Points,Crossings,Bank Angle (°),Drop,year_introduced,Location,Park section,Type_y,Manufacturer,Designer,Model,Track layout,Lift/launch system,Height,Drop_y,Length,Speed,Duration_y,Max vertical angle,Capacity,G-force,coaster_name,History,Closing date,Inversions_y,Trains,Replaced,Replaced by,General Statistics
Mamba (roller coaster),Worlds of Fun,Steel,,,1998,,,,D. H. Morgan Manufacturing,"5,600 ft (1,700 m)",205 ft (62 m),75 mph (121 km/h),0,,,,3:00,3.5,66°,,,,,,,205 ft (62 m),1998,Worlds of Fun,Africa,Steel,D. H. Morgan Manufacturing,Steve Okamoto,Hypercoaster,Out and Back,Chain lift hill,205 ft (62 m),205 ft (62 m),"5,600 ft (1,700 m)",75 mph (121 km/h),3:00,66°,1700 riders per hour,3.5,Mamba (roller coaster),"On September 11, 1997, Worlds of Fun announced that Mamba would be added to the park. The ride would be a hypercoaster by D.H. Morgan Manufacturing. It would be the tallest ride in the park at 205 feet (62 m). The coaster would be located in the Africa section of the park. Mamba officially opened on April 18, 1998.",,0,3 trains with 6 cars. Riders are arranged 3 across in 2 rows for a total of 36 riders per train.,,,
Mr. Freeze (roller coaster),,Steel – Launched – Shuttle,,,1998,,,,Premier Rides,"1,300 ft (400 m)",218 ft (66 m),70 mph (110 km/h),1 (traversed twice),,,,,4,90°,,,,,,,194 ft (59 m),1998,,,Steel – Launched – Shuttle,Premier Rides,Werner Stengel,LIM Shuttle Loop Coaster,,Linear induction motors,218 ft (66 m),194 ft (59 m),"1,300 ft (400 m)",70 mph (110 km/h),,90°,,4,Mr. Freeze (roller coaster),,,1 (traversed twice),2 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,,,
Oblivion (roller coaster),Alton Towers,Steel – Dive Coaster,,,1998,,,,Bolliger & Mabillard,"372.5 m (1,222 ft)",19.8 m (65 ft),109.4 km/h (68.0 mph),0,,,,1:15,4.5,87.5°,,,,,,,54.9 m (180 ft),1998,Alton Towers,X-Sector,Steel – Dive Coaster,Bolliger & Mabillard,Werner Stengel,Dive Coaster,,Chain lift hill,19.8 m (65 ft),54.9 m (180 ft),"372.5 m (1,222 ft)",109.4 km/h (68.0 mph),1:15,87.5°,"1,700 riders per hour",4.5,Oblivion (roller coaster),"In Theme Park Review's YouTube video of the IAAPA 2011 trade show, Walter Bolliger stated that development of the Dive Coaster model began between 1994 and 1995. Throughout 1997, the Alton Towers park's 'Fantasy World' area was closed and all its former rides removed, except the Black Hole. The closure led to it being used for secretly constructing a new attraction known as ""SW4"" (a codename that stood for ""Secret Weapon 4"", after Nemesis' codename, ""SW3""). The attraction's construction site was surrounded by a patrol guard who kept it hidden, and the park initially did not reveal much information about it to the general public. A fence was inserted into the area along with the sign announcing that a ""world first ride opens [in] March 1998"". Many people did not know of the then-upcoming ride other than that its building stage involved making a hole that gradually increased in size. When new parts of track appeared on the site, some grew suspicious about the project. Details about SW4 were not revealed until March 1998, including its name Oblivion and its status as the ""worlds first vertical drop roller coaster"". Oblivion was given a secret military theme, which was previously used for the park's earlier SW1 and SW2 coaster projects.Oblivion's opening was accompanied by a large promotional campaign, including appearances on Blue Peter, news channels and Corn Flakes cereal box packets. Prior to its opening, memorabilia including its own brand of deodorant was available to purchase. The total cost to construct the ride was estimated at £12 million.The park area containing Oblivion was redesigned as 'X Sector'. The only surviving ride from the former area was the Black Hole roller coaster, which was externally redesigned to suit the new theme. Alton Towers moved and rethemed two existing rides from other areas of the park to open with X-Sector, Energizer and Enterprise. Despite advertising the ride as the ""worlds first vertical drop rollercoaster"", Oblivion's vertical drop is slightly less than 90 degrees, at 87.5 degrees. This is due to the trains lacking sprung wheel assemblies which would mean the transition from vertical to horizontal would be uncomfortable.For a brief period in April 2011, the ride was sponsored by Fanta. The Fanta company also had put the Oblivion rollercoaster into one of their adverts to show that the brand was being sponsored there. However, much of the Fanta branding was removed after only a few months ""following numerous complaints about the obtrusive nature of the brand"".On 8 May 2012, a reportedly suicidal 20-year-old man climbed over tall safety fencing and managed to access the underground ride area. He reportedly entered via the tunnel exit portal and walked underground, emerging on a ledge around the entrance portal. Neither he nor any guests on the ride were harmed. He was arrested for a public order offence and the ride returned to normal operation the following day.",,0,7 trains with a single car. Riders are arranged 8 across in 2 rows for a total of 16 riders per train.,,,
Rampage (roller coaster),Alabama Splash Adventure,Wood,,,1998,,,,Custom Coasters International,"3,500 ft (1,100 m)",120 ft (37 m),56 mph (90 km/h),,,,,1:30,,,,,,,,,102 ft (31 m),1998,Alabama Splash Adventure,,Wood,Custom Coasters International,Larry Bill,,Twister,Chain lift hill,120 ft (37 m),102 ft (31 m),"3,500 ft (1,100 m)",56 mph (90 km/h),1:30,,,,Rampage (roller coaster),"Larry Langford, then-mayor of Fairfield, Alabama, presented the idea of building an amusement park near Birmingham, Alabama, in August 1995. During his announcement, Langford had the backing of around a dozen cities, making Vision Land the first supported project with inter-municipal cooperation. The park would incorporate several attractions within its opening year, including roller coasters. The Alabama Legislature approved of the park's construction in March 1996, with ground breaking for the park taking place in April. Plans for the roller coaster's construction were being arranged near the end of November, having an estimated cost of $5 million. The roller coaster was originally to be themed to the area's historical mining operations with the attraction based on a mine cart set loose and include a 100-foot (30-meter) drop.A bond deal for the park's construction was finalized in March 1997. Langford revealed the roller coaster would be built from wood to capture the ""'old-time clickety clack flavor of a Coney Island roller coaster'"" and serve as the park's focal point attraction. Custom Coasters International (CCI) officials were present on the construction site in June to mark trees for preservation or demolition. CCI owner, Denise Larrick, disclosed the roller coaster would feature a length of 3,500 feet (1,100 meters), a maximum speed of 56 mph (90 km/h), in addition to several drops and turns. By September, concrete footings were being poured with some already in place, and the supporting structure for the station was in construction. Finalized engineering plans for the roller coaster were projected to be complete in October, in addition to vertical construction of the wooden supports to be completed during November. The roller coaster would celebrate its topping out ceremony on December 2 and construction was reported by the Birmingham Post-Herald to be ""more than half done"" during the first week of December.Vision Land representatives held a ""Name That Coaster contest"" to choose a title for its roller coaster, the name ""Rampage"" selected as the winner on December 15, 1997, out of 1,400 entries. The Rampage moniker was submitted by a local Pleasant Grove High School student, with ""Scorpion's Tail"" and ""Jaguar"" coming in second and third place, respectively. Rampage's construction was completed on March 22, 1998, with initial testing rehearsals conducted on March 24, using bagged oats acting as test dummies. The last checks on the roller coaster's track were conducted in early April. A preview was held on May 16, and opened coinciding with the opening of Vision Land on May 23. Rampage was one of seven wooden roller coasters to open in the United States during the 1998 season.",,,6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,,
Rattlesnake (roller coaster),Chessington World of Adventures,Steel – Wild Mouse,,,1998,,,,Maurer AG,"1,213 ft (370 m)",49.25 ft (15.01 m),28 mph (45 km/h),0,,,,,,,,,,,,,,1998,Chessington World of Adventures,Mexicana,Steel – Wild Mouse,Maurer AG,Werner Stengel,Wilde Maus Classic,,Chain lift hill,49.25 ft (15.01 m),,"1,213 ft (370 m)",28 mph (45 km/h),,,550 riders per hour,,Rattlesnake (roller coaster),"Rattlesnake is a steel wild mouse style roller coaster ride which opened in 1998 at Chessington World of Adventures Resort as the theme park's third coaster. It was designed by Ing.-Büro Stengel GmbH and manufactured by Maurer Söhne / Wilde Maus Classic. it is over 1000 feet long.Due to local planning restrictions (a result of the park being on green belt land) the land designated for the ride area was excavated, resulting in the ride being partially submerged below ground level.  The layout consists of a steep lift hill, sharp turns and small airtime hills.
In June 2015, both Rattlesnake and Dragon's Fury were closed down when an accident happened on The Smiler at Alton Towers.",,0,,,,
The Riddler's Revenge,Six Flags Magic Mountain,Steel – Stand-up,,,1998,,,,Bolliger & Mabillard,"4,370 ft (1,330 m)",156 ft (48 m),65 mph (105 km/h),6,,,,3:00,4.2,,,,,,,,146 ft (45 m),1998,Six Flags Magic Mountain,Metropolis,Steel – Stand-up,Bolliger & Mabillard,Werner Stengel,Stand-Up Coaster,,Chain lift hill,156 ft (48 m),146 ft (45 m),"4,370 ft (1,330 m)",65 mph (105 km/h),3:00,,"1,610 riders per hour",4.2,The Riddler's Revenge,"Construction of the coaster began in late 1997. The ride's name was revealed in January 1998. It would be called The Riddler's Revenge, and would set world records for the stand-up coaster in height, drop, speed, length and number of inversions. The ride also broke the record for the world's tallest vertical loop. The previous holder of all these records was Chang at Kentucky Kingdom, which was installed exactly one year prior.The Riddler's Revenge soft opened on April 1, 1998. Three days later on April 4, 1998, the ride officially opened. The opening of the ride was part of a redevelopment of the Monterey Landing themed area, which became a 4.9-acre (2.0 ha) themed area known as Movie District. As part of the expansion the park added new restaurants, retail outlets, and rethemed some existing rides.In March 2000, The Riddler's Revenge conceded the title of the world's largest vertical loop to Superman: Krypton Coaster at Six Flags Fiesta Texas. The floorless roller coaster featured a 145-foot-tall (44 m) vertical loop, 21 feet (6.4 m) taller than that of The Riddler's Revenge. The park closed several rides including The Riddler's Revenge in early 2017 to begin the construction of Metropolis, a new themed area that resulted in new paint schemes along with modified entrances and exit queues for some attractions. The new area opened on July 12, 2017, which marked the reopening of The Riddler's Revenge.",,6,3 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,,
Roar (roller coaster),,Wood,,,1998,,,,Great Coasters International,"3,468 ft (1,057 m) (America) 3,291 ft (1,003 m) (Discovery Kingdom)",95 ft (29 m),50.5 mph (81.3 km/h),0,,,,1:52,3.5,50°,,,,,,,85 ft (26 m),1998,,,Wood,Great Coasters International,,,Twister,Chain lift hill,95 ft (29 m),85 ft (26 m),"3,468 ft (1,057 m) (America) 3,291 ft (1,003 m) (Discovery Kingdom)",50.5 mph (81.3 km/h),1:52,50°,,3.5,Roar (roller coaster),History section not found,"August 16, 2015",0,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,The Joker,
Roar (roller coaster),,Wood,,,1999,,,,Great Coasters International,"3,468 ft (1,057 m) (America) 3,291 ft (1,003 m) (Discovery Kingdom)",95 ft (29 m),50.5 mph (81.3 km/h),0,,,,1:52,3.5,50°,,,,,,,85 ft (26 m),1999,,,Wood,Great Coasters International,,,Twister,Chain lift hill,95 ft (29 m),85 ft (26 m),"3,468 ft (1,057 m) (America) 3,291 ft (1,003 m) (Discovery Kingdom)",50.5 mph (81.3 km/h),1:52,50°,,3.5,Roar (roller coaster),History section not found,"August 16, 2015",0,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,The Joker,
Storm Chaser (roller coaster),Kentucky Kingdom,Steel,,,1998,,,,Rocky Mountain Construction,"2,744 ft (836 m)",100 ft (30 m),52 mph (84 km/h),3,,,,1:40,3.8,78°,,,,,,,,1998,Kentucky Kingdom,,Steel,Rocky Mountain Construction,Alan Schilke,I-Box – Custom,,Chain lift hill,100 ft (30 m),,"2,744 ft (836 m)",52 mph (84 km/h),1:40,78°,960 riders per hour,3.8,Storm Chaser (roller coaster),"In September 1997, operation rights for Kentucky Kingdom were sold by Themeparks LLC to Premier Parks for $64 million. Weeks after the deal was finalized in November 1997, the new operators announced plans to build a $5-million dueling roller coaster, called Double Trouble, in time to open during the 1998 season. The name was later changed to Twisted Sisters prior to the ride's opening. Following the purchase of Six Flags by Premier Parks in June 1998, the park was rebranded as Six Flags Kentucky Kingdom.In 2002, the heavy metal band Twisted Sister threatened the park with legal action regarding the name of the roller coaster. To avoid a lawsuit, the park changed the ride's name to Twisted Twins. It operated under that name until the end of the 2007 season when the park closed the ride indefinitely, and the Gerstlauer trains were relocated to Six Flags St. Louis to be used as spare parts for The Boss, another Custom Coasters International ride with Gerstlauer trains.Amid corporate bankruptcy on February 4, 2010, Six Flags announced that the park would cease operations immediately following the rejection of an amended lease by the Kentucky State Fair Board. Former operator of Kentucky Kingdom, Ed Hart, along with several other investors formed the Kentucky Kingdom Redevelopment Company with the aim of reopening the park quickly. However, plans were abandoned after sixteen months of negotiations. On February 23, 2012, the Kentucky Fair Board approved a lease agreement which would see the park operate as Bluegrass Boardwalk. The plans called for the removal of Twisted Twins and T2 as a result of safety concerns.On June 27, 2013, Ed Hart's group negotiated an agreement to spend $36 million to reopen the park in May 2014. They also announced plans to transform Twisted Twins into ""a much superior ride"" and hoped to reopen it in 2016. Rocky Mountain Construction was eventually hired to refurbish the roller coaster with their patented IBox track design. In July 2015, Kentucky Kingdom announced plans to name the renovated ride Storm Chaser and open it during the 2016 season. The estimated cost for the new ride was $10 million.",,3,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Twisted Twins,,
Storm Chaser (roller coaster),Kentucky Kingdom,Steel,,,2016,,,,Rocky Mountain Construction,"2,744 ft (836 m)",100 ft (30 m),52 mph (84 km/h),3,,,,1:40,3.8,78°,,,,,,,,2016,Kentucky Kingdom,,Steel,Rocky Mountain Construction,Alan Schilke,I-Box – Custom,,Chain lift hill,100 ft (30 m),,"2,744 ft (836 m)",52 mph (84 km/h),1:40,78°,960 riders per hour,3.8,Storm Chaser (roller coaster),"In September 1997, operation rights for Kentucky Kingdom were sold by Themeparks LLC to Premier Parks for $64 million. Weeks after the deal was finalized in November 1997, the new operators announced plans to build a $5-million dueling roller coaster, called Double Trouble, in time to open during the 1998 season. The name was later changed to Twisted Sisters prior to the ride's opening. Following the purchase of Six Flags by Premier Parks in June 1998, the park was rebranded as Six Flags Kentucky Kingdom.In 2002, the heavy metal band Twisted Sister threatened the park with legal action regarding the name of the roller coaster. To avoid a lawsuit, the park changed the ride's name to Twisted Twins. It operated under that name until the end of the 2007 season when the park closed the ride indefinitely, and the Gerstlauer trains were relocated to Six Flags St. Louis to be used as spare parts for The Boss, another Custom Coasters International ride with Gerstlauer trains.Amid corporate bankruptcy on February 4, 2010, Six Flags announced that the park would cease operations immediately following the rejection of an amended lease by the Kentucky State Fair Board. Former operator of Kentucky Kingdom, Ed Hart, along with several other investors formed the Kentucky Kingdom Redevelopment Company with the aim of reopening the park quickly. However, plans were abandoned after sixteen months of negotiations. On February 23, 2012, the Kentucky Fair Board approved a lease agreement which would see the park operate as Bluegrass Boardwalk. The plans called for the removal of Twisted Twins and T2 as a result of safety concerns.On June 27, 2013, Ed Hart's group negotiated an agreement to spend $36 million to reopen the park in May 2014. They also announced plans to transform Twisted Twins into ""a much superior ride"" and hoped to reopen it in 2016. Rocky Mountain Construction was eventually hired to refurbish the roller coaster with their patented IBox track design. In July 2015, Kentucky Kingdom announced plans to name the renovated ride Storm Chaser and open it during the 2016 season. The estimated cost for the new ride was $10 million.",,3,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Twisted Twins,,
Thunderhawk (Michigan's Adventure),,Steel – Inverted,,,1998,,,,Vekoma,"2,260.5 ft (689.0 m)",109.3 ft (33.3 m),49.7 mph (80.0 km/h),5,,,,1:36,,,,,,,,,,1998,,Timbertown,Steel – Inverted,Vekoma,Peter Clerx,Suspended Looping Coaster (689m Standard),,Chain lift hill,109.3 ft (33.3 m),,"2,260.5 ft (689.0 m)",49.7 mph (80.0 km/h),1:36,,"1,040 riders per hour",,Thunderhawk (Michigan's Adventure),"The ride originally opened at Geauga Lake as Serial Thriller on May 9, 1998. It was constructed over what was previously marshland along the shores of Geauga Lake. A small, man-made island was constructed, and to keep it dry, a pump was installed near the ride's entrance. Much of the track and its supports were built over water. The track was originally red and the supports were originally green.
Serial Thriller was kept in operation following the park's ownership changes over the years involving Six Flags and Cedar Fair. After Cedar Fair purchased the park in 2004, the ride's name was changed to Thunderhawk. The following year, the track was repainted orange while the supports were repainted yellow.On September 21, 2007, Cedar Fair announced that the amusement park side of Geauga Lake would close, leaving only the water park, Wildwater Kingdom, in operation. On October 2, 2007, it was announced that Thunderhawk would be relocated to Michigan's Adventure under the same name.The ride's structure began to be reconstructed in January 2008. During construction of Thunderhawk, the roller coaster was repainted with red track and the supports remained yellow. Its padding and restraints on the trains were replaced as well in accordance with the new color scheme, as well as to improve the ride experience. Michigan's Adventure also made full-length ride DVDs available for purchase by riders. Thunderhawk opened at its current location on May 17, 2008.For the 2021 season the supports were repainted dark brown, while the track remained red.","September 16, 2007",5,2 trains with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,,,
Vapor Trail (roller coaster),Sesame Place (Philadelphia),Steel – Junior,,,1998,,,,Vekoma,"1,300 ft (400 m)",43 ft (13 m),27 mph (43 km/h),0,,,,1:15,,,,,,,,,56 ft (17 m),1998,Sesame Place (Philadelphia),,Steel – Junior,Vekoma,,Junior Coaster,Custom,Drive tire,43 ft (13 m),56 ft (17 m),"1,300 ft (400 m)",27 mph (43 km/h),1:15,,,,Vapor Trail (roller coaster),History section not found,,0,2 trains with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,,,
Volcano: The Blast Coaster,Kings Dominion,Steel – Inverted – Launched,,,1998,,,,Intamin,"2,757 ft (840 m)",155 ft (47 m),70 mph (110 km/h),4,,,,,,,,,,,,,80 ft (24 m),1998,Kings Dominion,Safari Village,Steel – Inverted – Launched,Intamin,Werner Stengel,Suspended Catapult Coaster,,LIM Launch,155 ft (47 m),80 ft (24 m),"2,757 ft (840 m)",70 mph (110 km/h),,,,,Volcano: The Blast Coaster,"An artificial mountain, originally called The Lost World, was constructed at Kings Dominion in 1979. It was located in the Safari Village section of the park and featured three rides inside – a dark ride named Land of the Dooz, a flume ride named Voyage to Atlantis, and a Rotor flat ride from Chance Rides named Time Shaft. Voyage to Atlantis was renamed Haunted River for the 1980 season. In 1984, Land of the Dooz was refurbished and rethemed to The Smurfs franchise, becoming known as Smurf Mountain. As popularity declined over the years, Smurf Mountain eventually closed permanently in 1993. The other two attractions were closed after the 1994 season, and the mountain's entrance was sealed off, casting uncertainty on the enclosed area's future.Kings Dominion was acquired by Paramount Parks in 1993, and under new ownership, plans were made to renovate the mountain. They considered adding a new attraction based on the upcoming 1995 Paramount film Congo. Unfortunately, the theme was later abandoned due to the film's poor box office performance. In 1996, the park moved in another direction hiring Intamin to design a new roller coaster. The ride manufacturer set out to develop a launch coaster, the company's first, that would be powered by a linear induction motor (LIM). Another ride manufacturer, Premier Rides, had pioneered the concept two years earlier with the design of Flight of Fear at Kings Island. A second concept for the theme was then proposed by Shane's Amusement Attic. The story focused on calling guests Lava Chasers, who were on a quest to explore the remnants of an ancient city inside a volcano. Although the early ride design from this concept was not used, much of the proposed theme was retained. Intamin came up with two launched models: an Impulse Coaster (shuttle) and a Suspended Catapult Coaster (complete-circuit). An early track design proposed by Intamin, much of which was later modified, featured a maximum speed of 75 mph (121 km/h), a 140-foot (43 m) Immelmann inversion with a 130-foot (40 m) drop, a horseshoe, two double heartline rolls, and a helix.On July 22, 1997, Kings Dominion unveiled the name of the new ride, Volcano: The Blast Coaster, along with several ride specifications in a press release announcement. At a cost of $20 million, the new ride would become the first launched roller coaster in the world to be inverted. Upon completion, Volcano would also become the park's tenth roller coaster and Kings Dominion began marketing its collection of coasters as the largest on the East Coast. Intamin based the prototype design on their Suspended Catapult Coaster model. In order to begin construction, several holes had to be sliced into the mountain to begin the process of gutting the interior. The two attractions remaining inside – Haunted River and Time Shaft – were completely removed along with the remains of Smurf Mountain that had been idle for several years. Some of the biggest challenges included the installation of the coaster's climax, a 155-foot-tall (47 m) roll out inversion where the track exits the structure, and the mountain's peak itself, which had to be modified into a wide opening that resembled a volcano.The new coaster was plagued with a variety of technical issues long before it opened. At the time, LIM technology was still fairly new to the industry and Intamin's system was initially buggy. Kings Dominion understood the challenge, having faced similar obstacles with the nearby Flight of Fear. Originally, Volcano only featured one LIM launch at the beginning of the ride. The trains failed to exit the volcano consistently during early testing, often rolling back down to the launch area in what is typically referred to as a rollback. Although Volcano's design accounted for rollbacks and allowed them to occur safely, the frequency of the problem led to multiple delays of the ride's grand opening. After several months of postponing, a soft opening was eventually held on August 1, 1998. Volcano: The Blast Coaster officially opened to the public two days later on August 3, 1998. During its first year of operation, the park opted to run the trains at half capacity as a temporary solution, reducing the weight and the number of rollbacks. For the 1999 season, a second set of LIMs were added further along the launch track. This supplied the added boost needed to crest the 155-foot (47 m) roll out inversion on a consistent basis.In addition to being the first of its kind to use an LIM launch system, Volcano opened as the fastest inverted roller coaster in the world, reaching a maximum speed of 70 mph (110 km/h). The previous record holder, Alpengeist at the nearby Busch Gardens Williamsburg, featured a top speed of 67 mph (108 km/h) and opened a year earlier in 1997. Volcano featured a roll out at 155 feet (47 m), making it the tallest inversion on any roller coaster.",2018,4,3 trains with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,Smurf Mountain,,
Wild Mouse (Lagoon),Lagoon Amusement Park,Steel – Wild Mouse,,,1998,,,,Maurer AG,"1,213 ft (370 m)",49.3 ft (15.0 m),28 mph (45 km/h),0,,,,1:10,,46°,,,,,,,,1998,Lagoon Amusement Park,,Steel – Wild Mouse,Maurer AG,Ing.-Büro Stengel GmbH,Wild Mouse,Wild Mouse,Chain,49.3 ft (15.0 m),,"1,213 ft (370 m)",28 mph (45 km/h),1:10,46°,900 riders per hour,,Wild Mouse (Lagoon),,,0,10 trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,,,
Wilderness Run (Carowinds),Carowinds,Steel – Junior,,,1998,,,,E&F Miler Industries,,15 ft (4.6 m),15 mph (24 km/h),0,,,,,,,,,,,,,,1998,Carowinds,Camp Snoopy,Steel – Junior,E&F Miler Industries,,,,,15 ft (4.6 m),,,15 mph (24 km/h),,,,,Wilderness Run (Carowinds),History section not found,,0,Single train with 6 cars. Riders are arranged 2 across in a single row for a total of 12 riders per train.,,,
Afterburn (roller coaster),Carowinds,Steel – Inverted,,,1999,,,,Bolliger & Mabillard,"2,956 ft (901 m)",113 ft (34 m),62 mph (100 km/h),6,,,,2:47,,,,,,,,,,1999,Carowinds,Crossroads,Steel – Inverted,Bolliger & Mabillard,Ing.-Büro Stengel GmbH,Inverted Coaster – Custom,,Chain lift hill,113 ft (34 m),,"2,956 ft (901 m)",62 mph (100 km/h),2:47,,1380 riders per hour,,Afterburn (roller coaster),"In early 1997, Carowinds began consultations with roller coaster manufacturer Bolliger & Mabillard about adding a new ride to their park. During 18 months of discussions, several designs and themes for the ride were developed, including theming it to the Godzilla franchise. In July 1998, the park announced the addition of Top Gun: The Jet Coaster for the 1999 season. At a cost of $10.5 million, it would be the single biggest investment in the park's history. The announcement followed Paramount Parks adding Top Gun-themed inverted and suspended roller coasters to several of their parks throughout the 1990s, including Paramount's Great America, Paramount Canada's Wonderland, and Paramount's Kings Island. To construct the attraction at Carowinds, the park's Bayern Kurve ride, Wild Bull, had to be removed. The park intended to keep the ride in storage for a potential relocation elsewhere within the park. The removal of Wild Bull shortened construction time because no trees or buildings had to be removed. Construction began in late July 1998, with the first track arriving in August. Testing was completed in January 1999.Top Gun: The Jet Coaster soft opened to guests and media on March 16, 1999. Riders of the first cycle included NASCAR drivers Stanton Barrett, Tony Stewart, Jerry Nadeau, and Kenny Wallace. The ride officially opened to the public on March 20, 1999. On July 1, 2006, the Cedar Fair Entertainment Company announced their acquisition of all of the Paramount Parks, including Carowinds. The aforementioned Top Gun roller coasters at other parks were all renamed to Flight Deck by the 2008 season, with Carowinds' installation being renamed to Afterburn. For the 2014 season, the ride's 15th season, Afterburn received a new coat of paint.",,6,2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Wild Bull,,
Afterburn (roller coaster),Carowinds,Steel – Inverted,,,2009,,,,Bolliger & Mabillard,"2,956 ft (901 m)",113 ft (34 m),62 mph (100 km/h),6,,,,2:47,,,,,,,,,,2009,Carowinds,Crossroads,Steel – Inverted,Bolliger & Mabillard,Ing.-Büro Stengel GmbH,Inverted Coaster – Custom,,Chain lift hill,113 ft (34 m),,"2,956 ft (901 m)",62 mph (100 km/h),2:47,,1380 riders per hour,,Afterburn (roller coaster),"In early 1997, Carowinds began consultations with roller coaster manufacturer Bolliger & Mabillard about adding a new ride to their park. During 18 months of discussions, several designs and themes for the ride were developed, including theming it to the Godzilla franchise. In July 1998, the park announced the addition of Top Gun: The Jet Coaster for the 1999 season. At a cost of $10.5 million, it would be the single biggest investment in the park's history. The announcement followed Paramount Parks adding Top Gun-themed inverted and suspended roller coasters to several of their parks throughout the 1990s, including Paramount's Great America, Paramount Canada's Wonderland, and Paramount's Kings Island. To construct the attraction at Carowinds, the park's Bayern Kurve ride, Wild Bull, had to be removed. The park intended to keep the ride in storage for a potential relocation elsewhere within the park. The removal of Wild Bull shortened construction time because no trees or buildings had to be removed. Construction began in late July 1998, with the first track arriving in August. Testing was completed in January 1999.Top Gun: The Jet Coaster soft opened to guests and media on March 16, 1999. Riders of the first cycle included NASCAR drivers Stanton Barrett, Tony Stewart, Jerry Nadeau, and Kenny Wallace. The ride officially opened to the public on March 20, 1999. On July 1, 2006, the Cedar Fair Entertainment Company announced their acquisition of all of the Paramount Parks, including Carowinds. The aforementioned Top Gun roller coasters at other parks were all renamed to Flight Deck by the 2008 season, with Carowinds' installation being renamed to Afterburn. For the 2014 season, the ride's 15th season, Afterburn received a new coat of paint.",,6,2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Wild Bull,,
Cliffhanger (Colorado roller coaster),,Steel,,,1999,,,,S&MC,,56 ft (17 m),34 mph (55 km/h),0,,,,1:20,,,,,,,,,,1999,,,Steel,S&MC,,Hurricane,,,56 ft (17 m),,,34 mph (55 km/h),1:20,,,,Cliffhanger (Colorado roller coaster),,"October 25, 2008",0,,,,
Cliffhanger (Colorado roller coaster),,Steel,,,2012,,,,S&MC,,56 ft (17 m),34 mph (55 km/h),0,,,,1:20,,,,,,,,,,2012,,,Steel,S&MC,,Hurricane,,,56 ft (17 m),,,34 mph (55 km/h),1:20,,,,Cliffhanger (Colorado roller coaster),,"October 25, 2008",0,,,,
Dragon Challenge,,Steel – Inverted – Dueling,,,1999,,,,Bolliger & Mabillard,"3,200 ft (975.4 m)",125 ft (38.1 m),60 mph (96.6 km/h),5,,,,2:25,,,,,,,,,115 ft (35.1 m),1999,,The Wizarding World of Harry Potter (2010-2017) - Hogsmeade,Steel – Inverted – Dueling,Bolliger & Mabillard,Werner Stengel,Inverted Coaster,,Chain lift hill,125 ft (38.1 m),115 ft (35.1 m),"3,200 ft (975.4 m)",60 mph (96.6 km/h),2:25,,,,Dragon Challenge,,4-Sep-17,5,8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,Hagrid's Magical Creatures Motorbike Adventure[1],General Statistics
Dragon Challenge,,Steel – Inverted – Dueling,,,2010,,,,Bolliger & Mabillard,"3,200 ft (975.4 m)",125 ft (38.1 m),60 mph (96.6 km/h),5,,,,2:25,,,,,,,,,115 ft (35.1 m),2010,,The Wizarding World of Harry Potter (2010-2017) - Hogsmeade,Steel – Inverted – Dueling,Bolliger & Mabillard,Werner Stengel,Inverted Coaster,,Chain lift hill,125 ft (38.1 m),115 ft (35.1 m),"3,200 ft (975.4 m)",60 mph (96.6 km/h),2:25,,,,Dragon Challenge,,4-Sep-17,5,8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,Hagrid's Magical Creatures Motorbike Adventure[1],General Statistics
